origin_warehouse,destination_store,product,truck_identifier,shipment_date,on_time,product_quantity,driver_identifier
e6d13431-5e5f-4b48-ba53-1dabc14aabdb,7ba19174-1b0d-4b99-9c5e-2cc8997b5405,cell phones,78572100058,2021-05-14,True,57,65354587709
0801d523-8201-479d-a1c3-5ac0d2679dd5,30930f95-3964-4685-bab1-b4ddd153ad4c,shoes,69954534132,2016-03-27,True,37,44168955103
b6a64fee-4e6c-41d4-9724-779ee9faed74,872d9e3d-5791-4d98-8fe1-66ae554ad089,pillows,63645384910,2020-08-09,True,22,60084869842
79ab6790-8fd4-49ff-a2e3-d0cac3f532f9,8f6bfd96-db83-4da8-a510-19b72a0f6ab5,coffee,19579185841,2017-06-23,True,81,81249287774
29f81b3f-a5b7-4643-96cd-390b1792b939,41da2405-f30c-44f1-85d3-ebe1e5e2fa8d,grills,88099226837,2017-12-12,True,39,71081147261
30d2a17b-64a0-4435-a661-f2f3240e8773,4cb12d34-2a87-45bc-9246-bdef81882599,trampolines,68920273691,2020-12-25,False,13,63006486432
b7065534-5f50-44a3-8b96-6d6990085846,ca3dde7b-a880-4d87-8670-dcdfe0c5b48b,coffee,30323712804,2016-03-29,True,11,83165946434
e45e4465-a0c9-4381-9c49-e6646758301e,09b4b4bf-877c-4ea2-b1cb-5424737eac83,balloons,49793629481,2017-08-05,True,12,68195579556
ea43eab4-16cf-425b-b7f6-44c98e5aecef,82adc132-62a8-4726-9113-0db341a8a72f,kitchen reovation supplies,16074059835,2017-06-12,False,26,15386751850
f1a73cc4-4549-47b3-8a36-8cf1752cea54,90b2082a-8279-457e-b252-f702b4a96aa1,pillows,19229437851,2019-09-27,False,93,54968994718
09095c16-b493-4b57-ae00-07d3abfb9c13,1b9739b6-ecac-42be-9eb8-658add123ee5,pinatas,63882852055,2018-03-20,False,29,24612183754
b596bfbc-94a3-43c4-bf1d-d37452a7670b,ecd6c677-951f-419f-81ab-a22392ebe2df,hats,75791645326,2018-04-17,True,25,22124044308
21395650-428e-49fc-8d0b-8b8ca7ac8030,5984ce76-ec9c-456b-acd0-71b12267f33e,pets,18238499844,2017-03-16,True,36,59533187988
2a9770ee-5bb8-43ef-97e6-db8206e9ba28,dfedfd3e-8c40-4e65-83f6-9708f1611e7f,candles,50131146551,2018-02-10,False,71,74513641926
f69d9f9c-de56-438e-80f7-d01fa18b64e9,8ea44c75-2868-4003-85ac-3e390f0aab22,hats,76738407427,2021-01-10,True,64,27045558908
1b9cc94d-4d27-4d29-bced-10e9f603fc17,8cacf47b-fe89-4612-9c16-df744990f18b,books,76716834653,2016-07-02,True,96,27601949257
df6b823c-76b7-4562-b33b-1f951b17f6e8,e7ce9bea-d38b-49a0-ba42-96b0faa30e06,video games,88561531707,2021-05-05,True,69,13323051597
f97acca7-1869-4629-ba39-d3821db8ea8f,f4bb86a5-27f8-4573-acaa-0073b10664c3,books,85182390028,2020-03-15,True,90,44008345185
752df239-c3a6-4e79-87a3-fc40845f5e23,26a3d5dd-d775-4651-adbb-7e50905ba85e,balloons,61624684163,2019-04-06,False,14,13892923678
51f49687-935e-41ee-8ffe-c607a96add3f,c3d3e4a4-548f-4252-9c14-467fa849997d,hydroponic equipment,15478056964,2017-05-18,True,70,11742984803
70c63d6c-5319-4c42-8767-0625cf155412,2a09c352-5938-4770-ae75-6f582dae6786,dvds,45308823321,2018-12-29,True,32,84609810372
d317d090-5d97-4263-9f61-79acb690fb66,04fc3943-37b8-46d5-87bb-1622da60bd10,toys,69770587544,2016-05-22,True,41,30383214670
4b39234d-066e-4cfe-9dac-77c107ed6efb,48ad706b-2816-4792-8910-9e1b2e8bbe6b,skis,53562553343,2019-04-19,False,25,33600376145
f9420249-0e79-4908-9e2d-c1bfcc3a82fe,73d47695-d959-4e50-82ea-3555e7b1ed4b,dvds,34458472772,2020-06-08,False,73,66744192441
ca413331-e311-4da5-b972-3d5d7146de57,d720a14d-4738-408e-91ab-353626ba9171,skis,76540055664,2017-11-01,False,62,47947820213
ba863928-3d03-42d1-a453-1bcb7bbc49a3,c77aa737-9960-453c-8d8c-7ee1ab0ea9be,yarn,15592582222,2018-03-19,False,95,72760880763
ee8076be-d96a-48e4-89db-116b869ea6c1,9d2529f6-d20b-45bd-8718-0acd4cbb1d10,skis,20440606936,2020-12-20,True,90,69238632767
b6182235-3126-4d1b-a636-e85eb3bbaec1,6279d52d-1de1-4d57-af78-3e2f0a0dc68a,snacks,35943553071,2019-03-02,True,52,29427387419
60abd2b9-6531-4df0-8ecc-c6cc6b35b44d,6be7de46-7c22-47d9-a69e-416b4ba91c61,pillows,24896770229,2017-10-03,False,52,37193954784
b687ca05-3b98-4fff-99d5-ed5072cb1bc1,a59bb218-27f8-4665-a228-ec277fb09c18,books,31043617450,2018-09-12,False,79,16547870815
1864614f-0cdf-400a-9415-7f0b603ae4a9,41e75751-1df3-4b85-b27f-575701a0e57a,windows,15970828030,2017-02-21,False,56,51489953921
83eb3366-3b7b-48dc-a49a-0d4722edbafb,f8907ea5-eb8b-43c8-a93c-06c8c58646a7,toys,37412639633,2017-11-19,True,100,23574413228
